,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary,x0_Arts,x0_Commerce,x0_Science,x1_Comm&Mgmt,x1_Others,x1_Sci&Tech,x2_Mkt&Fin,x2_Mkt&HR
0,0,67.0,0,91.0,0,Commerce,58.0,Sci&Tech,0,55.0,Mkt&HR,58.8,1,270000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1,0,79.33,1,78.33,0,Science,77.48,Sci&Tech,1,86.5,Mkt&Fin,66.28,1,200000.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2,0,65.0,1,68.0,0,Arts,64.0,Comm&Mgmt,0,75.0,Mkt&Fin,57.8,1,250000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,0,56.0,1,52.0,0,Science,52.0,Sci&Tech,0,66.0,Mkt&HR,59.43,0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
4,0,85.8,1,73.6,0,Commerce,73.3,Comm&Mgmt,0,96.8,Mkt&Fin,55.5,1,425000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
5,0,55.0,0,49.8,0,Science,67.25,Sci&Tech,1,55.0,Mkt&Fin,51.58,0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
6,1,46.0,0,49.2,0,Commerce,79.0,Comm&Mgmt,0,74.28,Mkt&Fin,53.29,0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
7,0,82.0,1,64.0,0,Science,66.0,Sci&Tech,1,67.0,Mkt&Fin,62.14,1,252000.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
8,0,73.0,1,79.0,0,Commerce,72.0,Comm&Mgmt,0,91.34,Mkt&Fin,61.29,1,231000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
9,0,58.0,1,70.0,0,Commerce,61.0,Comm&Mgmt,0,54.0,Mkt&Fin,52.21,0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
10,0,58.0,1,61.0,0,Commerce,60.0,Comm&Mgmt,1,62.0,Mkt&HR,60.85,1,260000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
11,0,69.6,1,68.4,0,Commerce,78.3,Comm&Mgmt,1,60.0,Mkt&Fin,63.7,1,250000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
12,1,47.0,1,55.0,0,Science,65.0,Comm&Mgmt,0,62.0,Mkt&HR,65.04,0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
13,1,77.0,1,87.0,0,Commerce,59.0,Comm&Mgmt,0,68.0,Mkt&Fin,68.63,1,218000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
14,0,62.0,1,47.0,0,Commerce,50.0,Comm&Mgmt,0,76.0,Mkt&HR,54.96,0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
15,1,65.0,1,75.0,0,Commerce,69.0,Comm&Mgmt,1,72.0,Mkt&Fin,64.66,1,200000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
16,0,63.0,1,66.2,0,Commerce,65.6,Comm&Mgmt,1,60.0,Mkt&Fin,62.54,1,300000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
17,1,55.0,1,67.0,0,Commerce,64.0,Comm&Mgmt,0,60.0,Mkt&Fin,67.28,0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
18,1,63.0,1,66.0,0,Commerce,64.0,Comm&Mgmt,0,68.0,Mkt&HR,64.08,0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
19,0,60.0,0,67.0,0,Arts,70.0,Comm&Mgmt,1,50.48,Mkt&Fin,77.89,1,236000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20,0,62.0,0,65.0,0,Commerce,66.0,Comm&Mgmt,0,50.0,Mkt&HR,56.7,1,265000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
21,1,79.0,0,76.0,0,Commerce,85.0,Comm&Mgmt,0,95.0,Mkt&Fin,69.06,1,393000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
22,1,69.8,0,60.8,0,Science,72.23,Sci&Tech,0,55.53,Mkt&HR,68.81,1,360000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
